algorithm,tuple_count,avg_time_ns,key_id,num_channels,fairness,chi,min_max_diff
ascon,50000,128.59,N/A,4,0.999805,0.000194614,0.89
ascon,50000,128.59,N/A,8,0.999784,0.000216051,0.59
ascon,50000,128.59,N/A,16,0.999482,0.000518362,0.512
ascon,50000,128.59,N/A,32,0.999263,0.000737306,0.396
ascon,50000,128.59,N/A,64,0.998805,0.00119613,0.264
ascon,50000,128.59,N/A,128,0.997715,0.00228987,0.172
crc32c,50000,15.7942,N/A,4,0.999956,4.38304e-05,0.46
crc32c,50000,15.7942,N/A,8,0.999692,0.000308563,0.76
crc32c,50000,15.7942,N/A,16,0.999591,0.000409165,0.548
crc32c,50000,15.7942,N/A,32,0.999411,0.000589568,0.358
crc32c,50000,15.7942,N/A,64,0.998546,0.00145633,0.278
crc32c,50000,15.7942,N/A,128,0.996866,0.00314348,0.206
toeplitz,50000,37.6808,N/A,4,0.999999,5.728e-07,0.046
toeplitz,50000,37.6808,N/A,8,0.999944,5.64736e-05,0.31
toeplitz,50000,37.6808,N/A,16,0.999804,0.000195674,0.322
toeplitz,50000,37.6808,N/A,32,0.999528,0.000471859,0.306
toeplitz,50000,37.6808,N/A,64,0.998658,0.00134354,0.238
toeplitz,50000,37.6808,N/A,128,0.99783,0.00217436,0.218
jhash,50000,10.6258,0,4,0.999987,1.26656e-05,0.224
jhash,50000,10.6258,0,8,0.999946,5.40288e-05,0.254
jhash,50000,10.6258,0,16,0.999855,0.000144986,0.232
jhash,50000,10.6258,0,32,0.999583,0.000417203,0.326
jhash,50000,10.6258,0,64,0.999164,0.000836352,0.252
jhash,50000,10.6258,0,128,0.997831,0.00217354,0.218
jhash,50000,10.3867,1,4,0.999996,4.1504e-06,0.13
jhash,50000,10.3867,1,8,0.999962,3.76448e-05,0.224
jhash,50000,10.3867,1,16,0.999868,0.000132122,0.302
jhash,50000,10.3867,1,32,0.999594,0.000406374,0.23
jhash,50000,10.3867,1,64,0.998864,0.00113756,0.2
jhash,50000,10.3867,1,128,0.997493,0.00251331,0.174
jhash,50000,10.4542,2,4,0.999874,0.000126506,0.602
jhash,50000,10.4542,2,8,0.999806,0.000193587,0.558
jhash,50000,10.4542,2,16,0.999696,0.000303667,0.384
jhash,50000,10.4542,2,32,0.99948,0.000520346,0.288
jhash,50000,10.4542,2,64,0.998922,0.00107955,0.232
jhash,50000,10.4542,2,128,0.99796,0.00204411,0.182
jhash,50000,10.475,3,4,0.999911,8.8848e-05,0.594
jhash,50000,10.475,3,8,0.999825,0.000175251,0.51
jhash,50000,10.475,3,16,0.999675,0.000325312,0.406
jhash,50000,10.475,3,32,0.999326,0.000674509,0.296
jhash,50000,10.475,3,64,0.998628,0.00137405,0.284
jhash,50000,10.475,3,128,0.99718,0.00282839,0.224
jhash,50000,10.3942,4,4,0.999966,3.41728e-05,0.39
jhash,50000,10.3942,4,8,0.999733,0.000267437,0.7
jhash,50000,10.3942,4,16,0.999661,0.000339059,0.446
jhash,50000,10.3942,4,32,0.999565,0.000435226,0.322
jhash,50000,10.3942,4,64,0.998543,0.0014594,0.262
jhash,50000,10.3942,4,128,0.997522,0.00248392,0.222
jhash,50000,10.3367,5,4,0.99991,8.96224e-05,0.604
jhash,50000,10.3367,5,8,0.999856,0.000143789,0.432
jhash,50000,10.3367,5,16,0.999453,0.000547418,0.602
jhash,50000,10.3367,5,32,0.999211,0.000789299,0.406
jhash,50000,10.3367,5,64,0.998747,0.0012542,0.254
jhash,50000,10.3367,5,128,0.997714,0.002291,0.204
jhash,50000,10.3967,6,4,0.999962,3.80512e-05,0.388
jhash,50000,10.3967,6,8,0.999904,9.58272e-05,0.438
jhash,50000,10.3967,6,16,0.999762,0.000238157,0.394
jhash,50000,10.3967,6,32,0.999504,0.000496358,0.342
jhash,50000,10.3967,6,64,0.998642,0.00135967,0.276
jhash,50000,10.3967,6,128,0.997903,0.00210145,0.17
jhash,50000,10.3917,7,4,0.999993,7.088e-06,0.166
jhash,50000,10.3917,7,8,0.999765,0.00023488,0.456
jhash,50000,10.3917,7,16,0.999701,0.000299328,0.342
jhash,50000,10.3917,7,32,0.999259,0.000741606,0.422
jhash,50000,10.3917,7,64,0.998658,0.00134339,0.292
jhash,50000,10.3917,7,128,0.99755,0.00245606,0.19
jhash,50000,10.4958,8,4,0.999835,0.000164874,0.838
jhash,50000,10.4958,8,8,0.999809,0.000191053,0.528
jhash,50000,10.4958,8,16,0.999662,0.000337728,0.436
jhash,50000,10.4958,8,32,0.99943,0.000570266,0.242
jhash,50000,10.4958,8,64,0.998781,0.00121999,0.238
jhash,50000,10.4958,8,128,0.997571,0.00243517,0.174
jhash,50000,10.4558,9,4,0.999965,3.536e-05,0.388
jhash,50000,10.4558,9,8,0.99992,8.0192e-05,0.402
jhash,50000,10.4558,9,16,0.999862,0.00013783,0.286
jhash,50000,10.4558,9,32,0.999664,0.000335642,0.212
jhash,50000,10.4558,9,64,0.999235,0.000765286,0.18
jhash,50000,10.4558,9,128,0.998148,0.00185549,0.168
jhash,50000,10.915,10,4,0.999915,8.49312e-05,0.63
jhash,50000,10.915,10,8,0.999857,0.000143411,0.482
jhash,50000,10.915,10,16,0.999596,0.000403904,0.424
jhash,50000,10.915,10,32,0.999063,0.000937549,0.384
jhash,50000,10.915,10,64,0.998628,0.00137375,0.256
jhash,50000,10.915,10,128,0.997538,0.00246835,0.216
jhash,50000,10.3842,11,4,0.999922,7.78976e-05,0.614
jhash,50000,10.3842,11,8,0.999851,0.00014919,0.518
jhash,50000,10.3842,11,16,0.999808,0.000191693,0.33
jhash,50000,10.3842,11,32,0.999431,0.000569677,0.312
jhash,50000,10.3842,11,64,0.998985,0.00101627,0.228
jhash,50000,10.3842,11,128,0.997703,0.00230195,0.196
jhash,50000,10.0225,12,4,0.999986,1.43712e-05,0.25
jhash,50000,10.0225,12,8,0.999784,0.000216205,0.592
jhash,50000,10.0225,12,16,0.999517,0.000483507,0.528
jhash,50000,10.0225,12,32,0.999212,0.000788326,0.392
jhash,50000,10.0225,12,64,0.998551,0.00145091,0.304
jhash,50000,10.0225,12,128,0.997279,0.00272865,0.214
jhash,50000,10.025,13,4,0.999989,1.06144e-05,0.202
jhash,50000,10.025,13,8,0.999951,4.88704e-05,0.29
jhash,50000,10.025,13,16,0.999679,0.000320986,0.424
jhash,50000,10.025,13,32,0.999445,0.000555085,0.296
jhash,50000,10.025,13,64,0.998781,0.00122081,0.264
jhash,50000,10.025,13,128,0.997157,0.00285071,0.192
jhash,50000,11.1217,14,4,0.999929,7.13248e-05,0.566
jhash,50000,11.1217,14,8,0.999871,0.000129158,0.462
jhash,50000,11.1217,14,16,0.999846,0.00015424,0.244
jhash,50000,11.1217,14,32,0.999395,0.000605261,0.336
jhash,50000,11.1217,14,64,0.99896,0.00104069,0.234
jhash,50000,11.1217,14,128,0.997518,0.00248781,0.226
jhash,50000,10.2517,15,4,0.99999,1.01664e-05,0.21
jhash,50000,10.2517,15,8,0.999905,9.4592e-05,0.432
jhash,50000,10.2517,15,16,0.999744,0.000256,0.516
jhash,50000,10.2517,15,32,0.99931,0.00069097,0.29
jhash,50000,10.2517,15,64,0.998615,0.00138655,0.276
jhash,50000,10.2517,15,128,0.997726,0.00227871,0.168
jhash,50000,10.5217,16,4,0.999944,5.6112e-05,0.468
jhash,50000,10.5217,16,8,0.999933,6.74688e-05,0.31
jhash,50000,10.5217,16,16,0.999714,0.000285658,0.37
jhash,50000,10.5217,16,32,0.999467,0.000532966,0.344
jhash,50000,10.5217,16,64,0.998921,0.00108063,0.25
jhash,50000,10.5217,16,128,0.997301,0.00270592,0.234
jhash,50000,11,17,4,0.999935,6.52448e-05,0.554
jhash,50000,11,17,8,0.999827,0.000173261,0.498
jhash,50000,11,17,16,0.999642,0.000357722,0.388
jhash,50000,11,17,32,0.999184,0.000816589,0.39
jhash,50000,11,17,64,0.998523,0.00147891,0.302
jhash,50000,11,17,128,0.996963,0.0030465,0.228
jhash,50000,10.7292,18,4,0.999989,1.07424e-05,0.222
jhash,50000,10.7292,18,8,0.999944,5.6384e-05,0.262
jhash,50000,10.7292,18,16,0.999713,0.000287386,0.436
jhash,50000,10.7292,18,32,0.999436,0.000564147,0.286
jhash,50000,10.7292,18,64,0.998769,0.00123295,0.236
jhash,50000,10.7292,18,128,0.997547,0.00245924,0.186
jhash,50000,10.75,19,4,0.999961,3.94304e-05,0.436
jhash,50000,10.75,19,8,0.9999,0.00010048,0.348
jhash,50000,10.75,19,16,0.999726,0.000273664,0.4
jhash,50000,10.75,19,32,0.999433,0.000567142,0.378
jhash,50000,10.75,19,64,0.998793,0.00120852,0.22
jhash,50000,10.75,19,128,0.997409,0.00259748,0.248
jhash,50000,10.4758,20,4,0.999989,1.14336e-05,0.222
jhash,50000,10.4758,20,8,0.999854,0.00014649,0.504
jhash,50000,10.4758,20,16,0.999755,0.000245235,0.314
jhash,50000,10.4758,20,32,0.999509,0.000490778,0.29
jhash,50000,10.4758,20,64,0.99886,0.00114125,0.236
jhash,50000,10.4758,20,128,0.996907,0.00310211,0.218
jhash,50000,10.5067,21,4,0.999908,9.24128e-05,0.634
jhash,50000,10.5067,21,8,0.999755,0.000245037,0.648
jhash,50000,10.5067,21,16,0.999651,0.000349606,0.432
jhash,50000,10.5067,21,32,0.99936,0.000640435,0.326
jhash,50000,10.5067,21,64,0.998677,0.00132506,0.274
jhash,50000,10.5067,21,128,0.997452,0.00255468,0.214
jhash,50000,10.3683,22,4,0.999731,0.00026913,1.134
jhash,50000,10.3683,22,8,0.999695,0.000304723,0.7
jhash,50000,10.3683,22,16,0.999589,0.00041088,0.448
jhash,50000,10.3683,22,32,0.999327,0.000673946,0.312
jhash,50000,10.3683,22,64,0.998361,0.00164142,0.268
jhash,50000,10.3683,22,128,0.99727,0.00273715,0.194
jhash,50000,10.3933,23,4,0.999978,2.23776e-05,0.33
jhash,50000,10.3933,23,8,0.999799,0.000200806,0.514
jhash,50000,10.3933,23,16,0.999658,0.000342464,0.462
jhash,50000,10.3933,23,32,0.999433,0.000566938,0.36
jhash,50000,10.3933,23,64,0.998918,0.00108339,0.232
jhash,50000,10.3933,23,128,0.997795,0.00220948,0.212
jhash,50000,10.6075,24,4,0.999989,1.14816e-05,0.212
jhash,50000,10.6075,24,8,0.999919,8.10048e-05,0.302
jhash,50000,10.6075,24,16,0.999804,0.000195789,0.284
jhash,50000,10.6075,24,32,0.999523,0.00047767,0.296
jhash,50000,10.6075,24,64,0.999209,0.000791245,0.196
jhash,50000,10.6075,24,128,0.998071,0.00193321,0.194
jhash,50000,10.4742,25,4,0.999941,5.93568e-05,0.504
jhash,50000,10.4742,25,8,0.999783,0.000217024,0.578
jhash,50000,10.4742,25,16,0.999591,0.000408806,0.566
jhash,50000,10.4742,25,32,0.999354,0.000646221,0.36
jhash,50000,10.4742,25,64,0.99855,0.00145183,0.26
jhash,50000,10.4742,25,128,0.99722,0.00278764,0.232
jhash,50000,10.4875,26,4,0.999909,9.07424e-05,0.662
jhash,50000,10.4875,26,8,0.999824,0.000175578,0.476
